model,lambda_c,fold,strategy,n_interventions,accuracy,run_id,run_name,source_summary_key
CEM,0.1,1,random,0,0.8261216881906537,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,1,0.8261216881906537,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,2,0.8265211023831713,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,3,0.8271867927040341,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,4,0.828118759153242,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,5,0.828385035281587,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,6,0.8287844494741047,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,7,0.8290507256024497,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,8,0.8290507256024497,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,9,0.8302489681800027,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,10,0.8305152443083478,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,11,0.8309146585008654,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,12,0.8313140726933831,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,13,0.8319797630142458,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,14,0.832778591399281,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,15,0.8334442817201438,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,16,0.8337105578484889,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,1,random,17,0.8335774197843163,ljzgock3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_1,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,0,0.8321129010784183,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,1,0.8319797630142458,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,2,0.832778591399281,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,3,0.8325123152709359,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,4,0.8322460391425909,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,5,0.8325123152709359,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,6,0.832778591399281,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,7,0.8330448675276262,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,8,0.8330448675276262,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.1,2,random,9,0.8326454533351085,0hw9q6e3,CEM_adam_lr1e-03_bs512_lam_c0.1_fold_2,interv/random_group_level_True_use_prior_False/curve_table
